Cliente_ID;Nome;Idade;Obra_Favorita
61715970;Greg Lestrade;40;Sherlock
241623554;Marge Simpson;;The Simpsons
271006026;Irene Adler;30;Sherlock
281847084;Jack Sparrow;35;Pirates of the Caribbean
290305420;Brook;;One Piece
296723819;Milhouse Van Houten;10;The Simpsons
323919542;Hagrid;63;Harry Potter
325489429;Goldfinger;50;James Bond
326361577;Jesse;25;The Fast and the Furious
335331807;James Bond;;James Bond
339892978;Poison Ivy;30;Batman
349807378;James Rhodes;48;Marvel
355849921;Philip, Duke of Edinburgh;32;The Crown
367019853;Aidan Keller;;The Ring
367977336;Dennis Nedry;30;Jurassic Park
368132627;Bené;18;City of God
380693920;Sirius Black;33;Harry Potter
385014475;Samara Morgan;7;The Ring
387249893;Catelyn Stark;38;Game of Thrones
390004180;Goldie Wilson;;Back to the Future
393615613;Edna Strickland;35;Back to the Future
395456707;Mané Galinha;18;City of God
400978601;Buzz Lightyear;;Toy Story
403945890;Vogel;60;Dexter
407364890;Lance;30;The Fast and the Furious
408593041;Aliens;10;Toy Story
409811593;Master Blaster;20;Mad Max
412461044;Daryl Dixon;35;The Walking Dead
413500273;Angélica;;City of God
416761821;Tuco Salamanca;30;Breaking Bad
416765713;Pippin Took;28;The Lord of the Rings
419892080;Nux;30;Mad Max
440121666;River Song;29;Doctor Who
441648690;Trinity;30;The Matrix
442778427;Haymitch Abernathy;26;The Hunger Games
443761058;Cypher;30;The Matrix
448163451;Roman Pearce;;The Fast and the Furious
454739510;Two-Face;30;Batman
456392632;Obi-Wan Kenobi;57;Star Wars
460253771;The Humungus;40;Mad Max
460780714;Walter Donovan;;Indiana Jones
461334357;Lorraine Baines-McFly;35;Back to the Future
463983156;Mola Ram;50;Indiana Jones
467246787;Galadriel;;The Lord of the Rings
470933858;Q;50;James Bond
471288966;Dozer;40;The Matrix
471869326;Marie Schrader;;Breaking Bad
474375212;Daenerys Targaryen;16;Game of Thrones
474453731;Pam Beesly;25;The Office (US)
476236356;Harrison Morgan;1;Dexter
477227057;George McFly;17;Back to the Future
477542957;Bootstrap Bill Turner;45;Pirates of the Caribbean
482500301;Oscar Martinez;35;The Office (US)
482737505;Felix Leiter;45;James Bond
488624480;Ron Weasley;11;Harry Potter
490090760;Aaron;35;The Walking Dead
492674887;Bart Simpson;10;The Simpsons
493015439;Ray Arnold;;Jurassic Park
494395506;Ned Flanders;40;The Simpsons
495003352;Ralph Wiggum;10;The Simpsons
499081542;Skyler White;;Breaking Bad
500591539;Chandler Bing;25;Friends
501001096;Janice Hosenstein;25;Friends
502260544;Monkey D.Garp;78;One Piece
503623112;Biff Tannen;17;Back to the Future
505611962;Leia Organa;19;Star Wars
506405545;Jabba the Hutt;;Star Wars
507576396;Claire Littleton;27;Lost
508781007;Suki;25;The Fast and the Furious
511286935;Severus Snape;31;Harry Potter
513647573;Rex;10;Toy Story
514907810;Anne, Princess Royal;11;The Crown
515950530;Kay Adams;25;The Godfather
516664511;Norrington;35;Pirates of the Caribbean
518053011;Clint Barton;;Marvel
518872821;Anthony Eden;55;The Crown
519023728;Rocky Balboa;30;Rocky
519888774;Debra Morgan;26;Dexter
521299864;Rachel Green;25;Friends
521484087;John Locke;;Lost
522014140;Finnick Odair;18;The Hunger Games
523197916;Desmond Hume;37;Lost
523313469;Miss Moneypenny;30;James Bond
523446795;Dominic Toretto;35;The Fast and the Furious
523960498;Marvin Berry;;Back to the Future
523980941;Lucius Malfoy;38;Harry Potter
525940541;Phoebe Buffay;25;Friends
